FeatureID	sample1	sample2	sample3	sample4	sample5	Taxon
RS_GCF_001560035.1	0.05	0.12	0.86	0.01	0.69	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius
RS_GCF_001560635.1	0.64	0.67	0.51	0.29	0.14	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius
RS_GCF_001560215.1	0.89	0.38	0.97	0.49	0.26	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius
RS_GCF_001559985.1	0.10	0.09	0.38	0.31	0.41	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius
RS_GCF_001560605.1	0.77	0.03	0.52	0.07	0.23	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius
RS_GCF_001560125.1	0.05	0.30	0.61	0.45	0.47	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius
RS_GCF_001560205.1	0.82	0.34	0.20	0.06	0.12	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius
RS_GCF_001560195.1	0.46	0.76	0.08	0.79	0.17	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius
RS_GCF_001560525.1	0.68	0.27	0.89	0.36	0.49	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius
RS_GCF_007996945.1	0.33	0.95	0.22	0.34	0.38	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius
RS_GCF_001559975.1	0.87	0.26	0.33	0.67	0.74	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius
RS_GCF_001560165.1	0.56	0.76	0.27	0.84	0.52	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius
RS_GCF_001560485.1	0.40	0.78	0.53	0.42	0.46	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius
RS_GCF_001560065.1	0.90	0.89	0.48	0.48	0.13	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius
RS_GCF_001560555.1	0.80	0.64	0.93	0.38	0.55	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius
RS_GCF_000338775.1	0.31	0.48	0.22	0.83	0.36	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius
RS_GCF_001560815.1	0.26	0.67	0.87	0.83	0.01	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae;g__Sulfolobus;s__Sulfolobus acidocaldarius
