FeatureID	fraction_uncultivated_cultivated	abundance	Taxon
o__Halobacteriales	0.26366559485530544	12.402777777777779	d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales
o__Methanomicrobiales	0.6309523809523809	19.72961373390558	d__Archaea; p__Halobacteriota; c__Methanomicrobia; o__Methanomicrobiales
o__Bog-38	1	119.93181818181819	d__Archaea; p__Halobacteriota; c__Bog-38; o__Bog-38
o__Methanosarcinales	0.38461538461538464	14.36046511627907	d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales
o__Methanotrichales	0.7777777777777778	38.71774193548387	d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanotrichales
o__Methanocellales	0.4	39.8	d__Archaea; p__Halobacteriota; c__Methanocellia; o__Methanocellales
o__ANME-1	1	52.23076923076923	d__Archaea; p__Halobacteriota; c__Syntropharchaeia; o__ANME-1
o__Syntropharchaeales	1	30.333333333333332	d__Archaea; p__Halobacteriota; c__Syntropharchaeia; o__Syntropharchaeales
o__Methanosarcinales_A	0.6666666666666666	39.5	d__Archaea; p__Halobacteriota; c__Methanosarcinia_A; o__Methanosarcinales_A
o__Methanoliparales	0.6666666666666666	15.6	d__Archaea; p__Halobacteriota; c__Methanoliparia; o__Methanoliparales
o__Archaeoglobales	0.7083333333333334	31.37704918032787	d__Archaea; p__Halobacteriota; c__Archaeoglobi; o__Archaeoglobales
o__JdFR-21	1	48.4	d__Archaea; p__Halobacteriota; c__Archaeoglobi; o__JdFR-21
o__Methanonatronarchaeales	0.75	5.8	d__Archaea; p__Halobacteriota; c__Methanonatronarchaeia; o__Methanonatronarchaeales
o__Poseidoniales	0.9383886255924171	32.331736085514194	d__Archaea; p__Thermoplasmatota; c__Poseidoniia_A; o__Poseidoniales
o__JABDBI01	1	0	d__Archaea; p__Thermoplasmatota; c__JABDBI01; o__JABDBI01
o__MGIII	1	60.87867647058823	d__Archaea; p__Thermoplasmatota; c__Poseidoniia_B; o__MGIII
o__EX4484-6	1	55.8	d__Archaea; p__Thermoplasmatota; c__EX4484-6; o__EX4484-6
o__Methanomassiliicoccales	0.8	33.96923076923077	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales
o__UBA10834	0.5	20.727272727272727	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__UBA10834
o__RBG-16-68-12	0.9545454545454546	94.88461538461539	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__RBG-16-68-12
o__SG8-5	1	75.4	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__SG8-5
o__UBA184	1	119.70833333333333	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__UBA184
o__PWKY01	1	95.0	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__PWKY01
o__Thermoplasmatales	0.47058823529411764	41.206896551724135	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Thermoplasmatales
o__ARK-15	1	49.5	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__ARK-15
o__Aciduliprofundales	0.3333333333333333	15.2	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Aciduliprofundales
o__DHVEG-1	1	106.71794871794872	d__Archaea; p__Thermoplasmatota; c__E2; o__DHVEG-1
o__UBA202	1	54.5	d__Archaea; p__Thermoplasmatota; c__E2; o__UBA202
o__UBA9212	0.3333333333333333	14.0	d__Archaea; p__Thermoplasmatota; c__E2; o__UBA9212
o__SW-10-69-26	1	43.666666666666664	d__Archaea; p__Thermoplasmatota; c__SW-10-69-26; o__SW-10-69-26
o__UBA287	1	5.0	d__Archaea; p__Thermoplasmatota; c__UBA186; o__UBA287
o__B47-G6B	1	74.5	d__Archaea; p__Thermoplasmatota; c__B47-G6; o__B47-G6B
o__Methanobacteriales	0.5652173913043478	11.52127659574468	d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales
o__Methanococcales	0	4.0	d__Archaea; p__Methanobacteriota; c__Methanococci; o__Methanococcales
