FeatureID	fraction_uncultivated_cultivated	abundance	Taxon	Random_type
o__Halobacteriales	0.26366559485530544	12.402777777777779	d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales	low
o__Methanomicrobiales	0.6309523809523809	19.72961373390558	d__Archaea; p__Halobacteriota; c__Methanomicrobia; o__Methanomicrobiales	low
o__Bog-38	1	119.93181818181819	d__Archaea; p__Halobacteriota; c__Bog-38; o__Bog-38	high
o__Methanosarcinales	0.38461538461538464	14.36046511627907	d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales	low
o__Methanotrichales	0.7777777777777778	38.71774193548387	d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanotrichales	low
o__Methanocellales	0.4	39.8	d__Archaea; p__Halobacteriota; c__Methanocellia; o__Methanocellales	low
o__ANME-1	1	52.23076923076923	d__Archaea; p__Halobacteriota; c__Syntropharchaeia; o__ANME-1	medium
o__Syntropharchaeales	1	30.333333333333332	d__Archaea; p__Halobacteriota; c__Syntropharchaeia; o__Syntropharchaeales	low
o__Methanosarcinales_A	0.6666666666666666	39.5	d__Archaea; p__Halobacteriota; c__Methanosarcinia_A; o__Methanosarcinales_A	low
o__Methanoliparales	0.6666666666666666	15.6	d__Archaea; p__Halobacteriota; c__Methanoliparia; o__Methanoliparales	low
o__Archaeoglobales	0.7083333333333334	31.37704918032787	d__Archaea; p__Halobacteriota; c__Archaeoglobi; o__Archaeoglobales	low
o__JdFR-21	1	48.4	d__Archaea; p__Halobacteriota; c__Archaeoglobi; o__JdFR-21	low
o__Methanonatronarchaeales	0.75	5.8	d__Archaea; p__Halobacteriota; c__Methanonatronarchaeia; o__Methanonatronarchaeales	low
o__Poseidoniales	0.9383886255924171	32.331736085514194	d__Archaea; p__Thermoplasmatota; c__Poseidoniia_A; o__Poseidoniales	low
o__JABDBI01	1	0	d__Archaea; p__Thermoplasmatota; c__JABDBI01; o__JABDBI01	low
o__MGIII	1	60.87867647058823	d__Archaea; p__Thermoplasmatota; c__Poseidoniia_B; o__MGIII	medium
o__EX4484-6	1	55.8	d__Archaea; p__Thermoplasmatota; c__EX4484-6; o__EX4484-6	medium
o__Methanomassiliicoccales	0.8	33.96923076923077	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales	low
o__UBA10834	0.5	20.727272727272727	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__UBA10834	low
o__RBG-16-68-12	0.9545454545454546	94.88461538461539	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__RBG-16-68-12	medium
o__SG8-5	1	75.4	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__SG8-5	medium
o__UBA184	1	119.70833333333333	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__UBA184	high
o__PWKY01	1	95.0	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__PWKY01	medium
o__Thermoplasmatales	0.47058823529411764	41.206896551724135	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Thermoplasmatales	low
o__ARK-15	1	49.5	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__ARK-15	low
o__Aciduliprofundales	0.3333333333333333	15.2	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Aciduliprofundales	low
o__DHVEG-1	1	106.71794871794872	d__Archaea; p__Thermoplasmatota; c__E2; o__DHVEG-1	high
o__UBA202	1	54.5	d__Archaea; p__Thermoplasmatota; c__E2; o__UBA202	medium
o__UBA9212	0.3333333333333333	14.0	d__Archaea; p__Thermoplasmatota; c__E2; o__UBA9212	low
o__SW-10-69-26	1	43.666666666666664	d__Archaea; p__Thermoplasmatota; c__SW-10-69-26; o__SW-10-69-26	low
o__UBA287	1	5.0	d__Archaea; p__Thermoplasmatota; c__UBA186; o__UBA287	low
o__B47-G6B	1	74.5	d__Archaea; p__Thermoplasmatota; c__B47-G6; o__B47-G6B	medium
o__Methanobacteriales	0.5652173913043478	11.52127659574468	d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales	low
o__Methanococcales	0	4.0	d__Archaea; p__Methanobacteriota; c__Methanococci; o__Methanococcales	low
o__Methanopyrales	0	4.5	d__Archaea; p__Methanobacteriota; c__Methanopyri; o__Methanopyrales	low
o__Thermococcales	0.1276595744680851	8.733333333333333	d__Archaea; p__Methanobacteriota; c__Thermococci; o__Thermococcales	low
o__Methanofastidiosales	0.875	49.888888888888886	d__Archaea; p__Methanobacteriota; c__Thermococci; o__Methanofastidiosales	low
o__Hadarchaeales	1	62.1	d__Archaea; p__Hadarchaeota; c__Hadarchaeia; o__Hadarchaeales	medium
o__Hydrothermarchaeales	1	70.77777777777777	d__Archaea; p__Hydrothermarchaeota; c__Hydrothermarchaeia; o__Hydrothermarchaeales	medium
o__Nitrososphaerales	0.7	33.43889384478145	d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales	low
o__Conexivisphaerales	1	81.96774193548387	d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Conexivisphaerales	medium
o__Geothermarchaeales	1	51.266666666666666	d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Geothermarchaeales	medium
o__Caldarchaeales	1	56.2	d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Caldarchaeales	medium
o__EX4484-205	1	60.0	d__Archaea; p__Thermoproteota; c__EX4484-205; o__EX4484-205	medium
o__B26-1	0.9459459459459459	81.825	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__B26-1	medium
o__EX4484-135	1	40.8	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__EX4484-135	low
o__TCS64	0.875	34.78947368421053	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__TCS64	low
o__40CM-2-53-6	1	170.375	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__40CM-2-53-6	high
o__B25	1	52.42857142857143	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__B25	medium
o__B24	1	71.54545454545455	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__B24	medium
o__Sulfolobales	0.3333333333333333	37.611111111111114	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Sulfolobales	low
o__EX4484-217-1	1	35.0	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__EX4484-217-1	low
o__Marsarchaeales	1	83.22727272727273	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Marsarchaeales	medium
o__Gearchaeales	1	29.375	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Gearchaeales	low
o__Thermoproteales	0.29411764705882354	9.282051282051283	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Thermoproteales	low
o__Thermofilales	0.7692307692307693	77.6078431372549	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Thermofilales	medium
o__QMSL01	1	82.83333333333333	d__Archaea; p__Thermoproteota; c__Thermoproteia; o__QMSL01	medium
o__Methanomethylicales	1	65.32432432432432	d__Archaea; p__Thermoproteota; c__Methanomethylicia; o__Methanomethylicales	medium
o__Nezhaarchaeales	1	70.42857142857143	d__Archaea; p__Thermoproteota; c__Methanomethylicia; o__Nezhaarchaeales	medium
o__B29-G17	1	74.13636363636364	d__Archaea; p__Thermoproteota; c__Methanomethylicia; o__B29-G17	medium
o__Korarchaeales	0.6666666666666666	27.0	d__Archaea; p__Thermoproteota; c__Korarchaeia; o__Korarchaeales	low
