gtdb_genome_representative	aquatic_habitat	host_associated	soil_habitat
RS_GCF_004210275.1	0	1	0
GB_GCA_014116815.1			
RS_GCF_000730245.1	0	1	0
RS_GCF_000815465.1	0	1	0
RS_GCF_000219355.1	0	1	0
RS_GCF_009690945.1	0	1	0
GB_GCA_903887235.1	1	0	0
GB_GCA_905479795.1	1	0	0
RS_GCF_000063545.1	0	1	0
RS_GCF_000964595.1			
RS_GCF_000012385.1	0	1	0
RS_GCF_000283915.1	0	1	0
RS_GCF_000195735.1	0	1	0
RS_GCF_000008045.1	0	1	0
RS_GCF_000284055.1	0	1	0
RS_GCF_000964665.1	0	1	0
RS_GCF_000018205.1	0	1	0
RS_GCF_000284155.1			
RS_GCF_000255355.1	0	1	0
RS_GCF_002259525.1	0	1	0
GB_GCA_015657545.1	0	1	0
RS_GCF_015476335.1	0	1	0
GB_GCA_013214485.1	1	0	0
GB_GCA_016869095.1	1	0	0
GB_GCA_013298405.1	1	0	0
GB_GCA_017302595.1	0	0	1
GB_GCA_905479885.1	1	0	0
GB_GCA_905479865.1	1	0	0
RS_GCF_003015145.1	0	1	0
RS_GCF_008189685.1	0	1	0
RS_GCF_007993655.1	1	1	0
GB_GCA_000021505.1	0	1	0
GB_GCA_002804305.1	0	1	0
GB_GCA_002776675.1	0	1	0
GB_GCA_002776655.1	0	1	0
GB_GCA_002844105.1	0	1	0
GB_GCA_002844085.1	0	1	0
GB_GCA_002844065.1	0	1	0
GB_GCA_002844045.1	0	1	0
GB_GCA_000831425.1	0	1	0
GB_GCA_002846175.1	0	1	0
GB_GCA_002846095.1	0	1	0
GB_GCA_000831405.1	0	1	0
GB_GCA_002846115.1	0	1	0
GB_GCA_000699475.1	0	1	0
GB_GCA_001729625.1	0	1	0
GB_GCA_000412755.1	0	1	0
GB_GCA_900019315.1			
GB_GCA_900014395.1			
GB_GCA_900010165.1			
GB_GCA_900010175.1			
GB_GCA_900012655.1			
GB_GCA_000220965.1			
GB_GCA_000219195.1	0	1	0
RS_GCF_000287255.1	0	1	0
RS_GCF_000287235.1	0	1	0
RS_GCF_000287295.1	0	1	0
RS_GCF_000287275.1	0	1	0
RS_GCF_016593055.1	0	1	0
RS_GCF_013463375.1			
RS_GCF_001274515.1	0	1	0
RS_GCF_000441575.1	0	1	0
RS_GCF_002009355.1	0	1	0
RS_GCF_002786955.1	0	1	0
RS_GCF_000287315.1	0	1	0
RS_GCF_000010365.1	0	1	0
GB_GCA_017348975.1	0	1	0
GB_GCA_017348935.1	0	1	0
GB_GCA_017348955.1	0	1	0
GB_GCA_003391315.1	0	1	0
GB_GCA_000147015.1	0	1	0
GB_GCA_002290365.1	0	1	0
GB_GCA_017086605.1	0	1	0
GB_GCA_001447885.1	0	1	0
GB_GCA_000442605.1	0	1	0
GB_GCA_014211875.1	0	1	0
RS_GCF_003072485.1	1	1	0
GB_GCA_014132315.1	0	1	0
GB_GCA_018101195.1	0	1	0
RS_GCF_000632985.1	0	1	0
RS_GCF_001593535.1	0	1	0
RS_GCF_009856525.1	0	1	0
RS_GCF_000022525.1	0	1	0
RS_GCF_000013165.1	0	0	0
RS_GCF_009728815.1	0	1	0
RS_GCF_000026005.1	0	1	0
RS_GCF_000012565.1	0	1	0
RS_GCF_004181775.1	0	1	0
RS_GCF_000013145.1	0	1	0
RS_GCF_000632845.1	0	1	0
RS_GCF_000508225.1	0	1	0
RS_GCF_019186745.1	0	1	0
RS_GCF_000964795.1	0	1	0
RS_GCF_000024505.1	0	1	0
RS_GCF_000020305.1	0	1	0
RS_GCF_012790675.1	0	1	0
RS_GCF_000013125.1	0	1	0
GB_GCA_016860565.1	0	1	0
GB_GCA_019061405.1	0	1	0
RS_GCF_001752665.1			
RS_GCF_014534705.1			
RS_GCF_012277295.1	0	1	0
RS_GCF_014107455.1	0	1	0
