name	support	dist	leaves	sample1_sum	sample1_min	sample1_max	sample1_mean	sample1_variance	sample2_sum	sample2_min	sample2_max	sample2_mean	sample2_variance	sample3_sum	sample3_min	sample3_max	sample3_mean	sample3_variance	sample4_sum	sample4_min	sample4_max	sample4_mean	sample4_variance	sample5_sum	sample5_min	sample5_max	sample5_mean	sample5_variance	random_type_counter	taxid	sci_name	common_name	lineage	rank	named_lineage	nleaves	sample1	sample2	sample3	sample4	sample5	random_type
p__Thermoproteota	1.0	0.0	974	497.47999999999996	0.0	1.0	0.5107597535934291		497.51000000000005	0.0	1.0	0.5107905544147845		505.23	0.0	1.0	0.5187166324435318		485.17	0.0	1.0	0.49812114989733064		479.20000000000005	0.0	1.0	0.49199178644763863		high--352||low--312||medium--310	p__Thermoproteota	p__Thermoproteota		1;2;79	phylum	root;d__Archaea;p__Thermoproteota	974						
c__Thermoproteia	1.0	1.0	368	193.49	0.01	0.99	0.5257880434782609		190.9	0.0	1.0	0.51875		189.16	0.0	1.0	0.5140217391304348		186.35000000000002	0.0	1.0	0.5063858695652175		177.51999999999998	0.0	1.0	0.482391304347826		high--131||low--108||medium--129	c__Thermoproteia	c__Thermoproteia		1;2;79;80	class	root;d__Archaea;p__Thermoproteota;c__Thermoproteia	368						
c__Nitrososphaeria	1.0	1.0	364	182.31	0.0	1.0	0.5008516483516483		185.26	0.0	1.0	0.5089560439560439		190.39999999999998	0.01	1.0	0.523076923076923		185.87	0.0	1.0	0.5106318681318681		182.38	0.0	1.0	0.501043956043956		low--120||high--129||medium--115	c__Nitrososphaeria	c__Nitrososphaeria		1;2;79;549	class	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria	364						
c__Bathyarchaeia	1.0	1.0	173	84.6	0.0	0.99	0.4890173410404624		85.94	0.01	1.0	0.4967630057803468		91.91999999999999	0.0	0.99	0.5313294797687861		79.32999999999998	0.0	0.99	0.4585549132947976		85.44	0.0	1.0	0.49387283236994217		medium--48||high--64||low--61	c__Bathyarchaeia	c__Bathyarchaeia		1;2;79;1547	class	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia	173						
c__Methanomethylicia	1.0	1.0	44	24.19	0.0	1.0	0.5497727272727273		23.0	0.01	0.94	0.5227272727272727		21.279999999999998	0.05	0.96	0.4836363636363636		21.330000000000005	0.01	0.96	0.4847727272727274		23.2	0.01	0.99	0.5272727272727272		high--16||low--18||medium--10	c__Methanomethylicia	c__Methanomethylicia		1;2;79;1680	class	root;d__Archaea;p__Thermoproteota;c__Methanomethylicia	44						
c__Korarchaeia	1.0	1.0	14	8.45	0.17	0.98	0.6035714285714285		7.629999999999999	0.03	0.84	0.5449999999999999		7.199999999999999	0.08	0.92	0.5142857142857142		7.209999999999999	0.03	0.96	0.5149999999999999		6.129999999999999	0.02	0.99	0.4378571428571428		high--7||medium--5||low--2	c__Korarchaeia	c__Korarchaeia		1;2;79;2172	class	root;d__Archaea;p__Thermoproteota;c__Korarchaeia	14						
o__EX4484-205	1.0	1.0	10	3.68	0.04	0.63	0.368		4.37	0.12	0.86	0.437		5.17	0.08	0.94	0.517		4.92	0.15	0.83	0.492		3.94	0.07	0.72	0.394		medium--3||low--3||high--4	o__EX4484-205	o__EX4484-205		1;2;79;2989;2990	order	root;d__Archaea;p__Thermoproteota;c__EX4484-205;o__EX4484-205	10						
GB_GCA_003661605.1	1.0	1.0	1	0.76	0.76	0.76	0.76		0.41	0.41	0.41	0.41		0.1	0.1	0.1	0.1		0.16	0.16	0.16	0.16		0.59	0.59	0.59	0.59		high--1	GB_GCA_003661605.1	GB_GCA_003661605.1		1;2;79;6305;6306;6307;6308;6309;6310	subspecies	root;d__Archaea;p__Thermoproteota;c__QMWL01;o__QMWL01;f__QMWL01;g__QMWL01;s__QMWL01 sp003661605;GB_GCA_003661605.1	1						
o__Sulfolobales	1.0	1.0	253	130.36	0.01	0.99	0.5152569169960475		129.63	0.0	1.0	0.5123715415019763		134.49	0.01	1.0	0.5315810276679842		127.91	0.0	1.0	0.5055731225296443		116.95	0.0	1.0	0.46225296442687747		low--68||medium--96||high--89	o__Sulfolobales	o__Sulfolobales		1;2;79;80;81	order	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales	253						
f__Gearchaeaceae	1.0	1.0	9	3.93	0.08	0.98	0.4366666666666667		3.91	0.05	0.86	0.43444444444444447		4.61	0.24	0.88	0.5122222222222222		3.68	0.03	0.8	0.4088888888888889		4.21	0.04	0.85	0.4677777777777778		high--4||medium--3||low--2	f__Gearchaeaceae	f__Gearchaeaceae		1;2;79;80;1029;1030	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Gearchaeales;f__Gearchaeaceae	9						
o__Marsarchaeales	1.0	1.0	13	7.610000000000001	0.2	0.95	0.5853846153846155		6.620000000000001	0.16	0.82	0.5092307692307693		6.299999999999999	0.04	0.95	0.48461538461538456		7.82	0.11	1.0	0.6015384615384616		6.000000000000001	0.05	0.95	0.4615384615384616		low--3||high--5||medium--5	o__Marsarchaeales	o__Marsarchaeales		1;2;79;80;1176	order	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Marsarchaeales	13						
o__Thermoproteales	1.0	1.0	56	29.52	0.01	0.99	0.5271428571428571		29.36	0.01	0.99	0.5242857142857142		25.990000000000002	0.01	0.98	0.4641071428571429		28.660000000000004	0.01	1.0	0.5117857142857144		30.490000000000002	0.01	1.0	0.5444642857142857		medium--16||high--18||low--22	o__Thermoproteales	o__Thermoproteales		1;2;79;80;1312	order	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermoproteales	56						
o__Thermofilales	1.0	1.0	31	17.650000000000002	0.09	0.93	0.5693548387096775		18.890000000000004	0.01	0.95	0.6093548387096775		15.41	0.0	0.96	0.4970967741935484		14.73	0.01	0.94	0.47516129032258064		15.980000000000002	0.01	0.96	0.515483870967742		high--12||low--12||medium--7	o__Thermofilales	o__Thermofilales		1;2;79;80;1702	order	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales	31						
f__QMSL01	1.0	1.0	4	3.25	0.73	0.9	0.8125		1.3900000000000001	0.1	0.79	0.34750000000000003		1.8699999999999999	0.16	0.99	0.46749999999999997		2.44	0.56	0.74	0.61		2.5700000000000003	0.39	0.97	0.6425000000000001		high--3||low--1	f__QMSL01	f__QMSL01		1;2;79;80;3109;3110	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__QMSL01;f__QMSL01	4						
f__EX4484-217-1	1.0	1.0	2	1.17	0.45	0.72	0.585		1.1	0.31	0.79	0.55		0.49	0.17	0.32	0.245		1.1099999999999999	0.14	0.97	0.5549999999999999		1.32	0.45	0.87	0.66		medium--2	f__EX4484-217-1	f__EX4484-217-1		1;2;79;80;6287;6288	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__EX4484-217-1;f__EX4484-217-1	2						
o__Nitrososphaerales	1.0	1.0	316	158.07999999999998	0.0	1.0	0.500253164556962		156.15	0.0	1.0	0.4941455696202532		165.08	0.01	1.0	0.5224050632911392		162.83	0.0	1.0	0.5152848101265823		157.3	0.0	1.0	0.4977848101265823		low--105||high--114||medium--97	o__Nitrososphaerales	o__Nitrososphaerales		1;2;79;549;550	order	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales	316						
o__Caldarchaeales	1.0	1.0	35	18.09	0.01	0.97	0.5168571428571429		21.639999999999997	0.07	0.99	0.6182857142857142		18.33	0.03	0.99	0.5237142857142857		15.629999999999999	0.0	0.93	0.44657142857142856		18.599999999999998	0.04	0.95	0.5314285714285714		high--9||low--12||medium--14	o__Caldarchaeales	o__Caldarchaeales		1;2;79;549;1776	order	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Caldarchaeales	35						
f__JDFR-13	1.0	1.0	5	3.1400000000000006	0.13	0.95	0.6280000000000001		3.14	0.37	0.96	0.628		2.9799999999999995	0.07	0.94	0.5959999999999999		2.3400000000000003	0.08	0.74	0.4680000000000001		1.38	0.09	0.84	0.27599999999999997		medium--3||low--1||high--1	f__JDFR-13	f__JDFR-13		1;2;79;549;2646;2647	family	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Geothermarchaeales;f__JDFR-13	5						
o__Conexivisphaerales	1.0	1.0	7	2.86	0.11	0.75	0.40857142857142853		3.8499999999999996	0.1	0.95	0.5499999999999999		3.14	0.04	0.67	0.44857142857142857		4.23	0.06	0.92	0.6042857142857143		4.61	0.45	0.98	0.6585714285714286		low--2||high--4||medium--1	o__Conexivisphaerales	o__Conexivisphaerales		1;2;79;549;3475	order	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Conexivisphaerales	7						
GB_GCA_014361085.1	1.0	1.0	1	0.14	0.14	0.14	0.14		0.48	0.48	0.48	0.48		0.87	0.87	0.87	0.87		0.84	0.84	0.84	0.84		0.49	0.49	0.49	0.49		high--1	GB_GCA_014361085.1	GB_GCA_014361085.1		1;2;79;549;6671;6672;6673;6674;6675	subspecies	root;d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__JACIWG01;f__JACIWG01;g__JACIWG01;s__JACIWG01 sp014361085;GB_GCA_014361085.1	1						
o__B26-1	1.0	1.0	98	49.08	0.01	0.99	0.5008163265306123		50.449999999999996	0.01	1.0	0.514795918367347		51.980000000000004	0.0	0.98	0.5304081632653062		47.74	0.0	0.99	0.48714285714285716		49.15999999999999	0.01	0.99	0.5016326530612244		medium--24||high--39||low--35	o__B26-1	o__B26-1		1;2;79;1547;1548	order	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1	98						
o__40CM-2-53-6	1.0	1.0	41	18.22	0.0	0.99	0.444390243902439		20.77	0.02	0.99	0.5065853658536585		22.05	0.0	0.97	0.5378048780487805		15.33	0.0	0.94	0.37390243902439024		21.779999999999998	0.02	1.0	0.5312195121951219		medium--13||low--17||high--11	o__40CM-2-53-6	o__40CM-2-53-6		1;2;79;1547;1932	order	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6	41						
f__B25	1.0	1.0	10	4.81	0.1	0.81	0.481		4.09	0.03	0.74	0.409		6.06	0.02	0.99	0.606		5.0600000000000005	0.02	0.99	0.506		4.49	0.06	0.9	0.449		medium--2||low--4||high--4	f__B25	f__B25		1;2;79;1547;2960;2961	family	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B25;f__B25	10						
o__B24	1.0	1.0	10	5.33	0.08	0.93	0.533		4.13	0.13	0.93	0.413		5.039999999999999	0.05	0.87	0.5039999999999999		2.66	0.0	0.76	0.266		3.72	0.0	0.89	0.372		high--3||medium--4||low--3	o__B24	o__B24		1;2;79;1547;3588	order	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B24	10						
f__TCS64	1.0	1.0	10	4.92	0.19	0.94	0.492		5.21	0.09	0.87	0.521		4.32	0.13	0.99	0.43200000000000005		5.84	0.13	0.97	0.584		4.24	0.02	0.84	0.42400000000000004		high--7||medium--2||low--1	f__TCS64	f__TCS64		1;2;79;1547;4406;4407	family	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__TCS64;f__TCS64	10						
o__EX4484-135	1.0	1.0	3	1.77	0.25	0.83	0.59		0.8700000000000001	0.05	0.77	0.29000000000000004		1.5099999999999998	0.32	0.62	0.5033333333333333		2.1900000000000004	0.55	0.86	0.7300000000000001		1.3699999999999999	0.09	0.69	0.4566666666666666		medium--3	o__EX4484-135	o__EX4484-135		1;2;79;1547;5542	order	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__EX4484-135	3						
GB_GCA_001775995.1	1.0	1.0	1	0.47	0.47	0.47	0.47		0.42	0.42	0.42	0.42		0.96	0.96	0.96	0.96		0.51	0.51	0.51	0.51		0.68	0.68	0.68	0.68		low--1	GB_GCA_001775995.1	GB_GCA_001775995.1		1;2;79;1547;7576;7577;7578;7579;7580	subspecies	root;d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__RBG-16-48-13;f__RBG-16-48-13;g__RBG-16-48-13;s__RBG-16-48-13 sp001775995;GB_GCA_001775995.1	1						
o__Nezhaarchaeales	1.0	1.0	13	5.440000000000001	0.0	0.83	0.41846153846153855		5.95	0.05	0.94	0.45769230769230773		6.55	0.1	0.96	0.5038461538461538		7.13	0.01	0.96	0.5484615384615384		6.03	0.02	0.9	0.46384615384615385		low--5||high--5||medium--3	o__Nezhaarchaeales	o__Nezhaarchaeales		1;2;79;1680;1681	order	root;d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales	13						
o__Methanomethylicales	1.0	1.0	19	11.920000000000002	0.02	0.97	0.6273684210526317		11.42	0.13	0.93	0.6010526315789474		8.93	0.07	0.94	0.47		8.85	0.02	0.73	0.46578947368421053		11.61	0.05	0.99	0.6110526315789473		low--8||high--7||medium--4	o__Methanomethylicales	o__Methanomethylicales		1;2;79;1680;2518	order	root;d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Methanomethylicales	19						
s__DTDM01 sp011362245	1.0	1.0	2	0.82	0.25	0.57	0.41		1.02	0.19	0.83	0.51		0.83	0.22	0.61	0.415		0.53	0.26	0.27	0.265		1.6800000000000002	0.75	0.93	0.8400000000000001		high--1||low--1	s__DTDM01 sp011362245	s__DTDM01 sp011362245		1;2;79;1680;2598;2599;2600;2601	species	root;d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__DTDM01;f__DTDM01;g__DTDM01;s__DTDM01 sp011362245	2						
o__B29-G17	1.0	1.0	10	6.01	0.18	1.0	0.601		4.61	0.01	0.87	0.461		4.97	0.05	0.89	0.497		4.819999999999999	0.03	0.85	0.48199999999999993		3.88	0.01	0.91	0.388		high--3||low--4||medium--3	o__B29-G17	o__B29-G17		1;2;79;1680;2797	order	root;d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__B29-G17	10						
o__Korarchaeales	1.0	1.0	13	8.190000000000001	0.17	0.98	0.6300000000000001		6.93	0.03	0.84	0.533076923076923		6.58	0.08	0.92	0.5061538461538462		6.27	0.03	0.96	0.48230769230769227		5.919999999999999	0.02	0.99	0.45538461538461533		high--7||medium--4||low--2	o__Korarchaeales	o__Korarchaeales		1;2;79;2172;2173	order	root;d__Archaea;p__Thermoproteota;c__Korarchaeia;o__Korarchaeales	13						
GB_GCA_011041895.1	1.0	1.0	1	0.26	0.26	0.26	0.26		0.7	0.7	0.7	0.7		0.62	0.62	0.62	0.62		0.94	0.94	0.94	0.94		0.21	0.21	0.21	0.21		medium--1	GB_GCA_011041895.1	GB_GCA_011041895.1		1;2;79;2172;7981;7982;7983;7984;7985	subspecies	root;d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895;GB_GCA_011041895.1	1						
o__EX4484-205	1.0	1.0	10	3.68	0.04	0.63	0.368		4.37	0.12	0.86	0.437		5.17	0.08	0.94	0.517		4.92	0.15	0.83	0.492		3.94	0.07	0.72	0.394		medium--3||low--3||high--4	o__EX4484-205	o__EX4484-205		1;2;79;2989;2990	order	root;d__Archaea;p__Thermoproteota;c__EX4484-205;o__EX4484-205	10						
GB_GCA_003661605.1	1.0	1.0	1	0.76	0.76	0.76	0.76		0.41	0.41	0.41	0.41		0.1	0.1	0.1	0.1		0.16	0.16	0.16	0.16		0.59	0.59	0.59	0.59		high--1	GB_GCA_003661605.1	GB_GCA_003661605.1		1;2;79;6305;6306;6307;6308;6309;6310	subspecies	root;d__Archaea;p__Thermoproteota;c__QMWL01;o__QMWL01;f__QMWL01;g__QMWL01;s__QMWL01 sp003661605;GB_GCA_003661605.1	1						
f__Sulfolobaceae	1.0	1.0	144	72.75	0.01	0.99	0.5052083333333334		69.59	0.01	1.0	0.48326388888888894		77.68	0.02	0.99	0.5394444444444445		71.18	0.0	0.97	0.4943055555555556		65.0	0.0	1.0	0.4513888888888889		low--43||high--50||medium--51	f__Sulfolobaceae	f__Sulfolobaceae		1;2;79;80;81;82	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Sulfolobaceae	144						
f__Acidilobaceae	1.0	1.0	18	10.609999999999998	0.02	0.99	0.5894444444444443		9.840000000000002	0.0	0.86	0.5466666666666667		8.58	0.03	0.99	0.4766666666666667		7.94	0.0	0.96	0.4411111111111111		7.970000000000001	0.06	0.98	0.4427777777777778		medium--5||high--9||low--4	f__Acidilobaceae	f__Acidilobaceae		1;2;79;80;81;1564	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae	18						
f__NBVN01	1.0	1.0	16	7.35	0.09	0.89	0.459375		8.28	0.01	0.97	0.5175		8.07	0.12	0.92	0.504375		8.52	0.16	0.98	0.5325		6.78	0.02	0.96	0.42375		medium--10||high--2||low--4	f__NBVN01	f__NBVN01		1;2;79;80;81;2020	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__NBVN01	16						
f__Fervidicoccaceae	1.0	1.0	10	5.9399999999999995	0.02	0.94	0.594		5.1899999999999995	0.06	0.98	0.5189999999999999		6.98	0.27	0.97	0.6980000000000001		5.5600000000000005	0.08	0.98	0.556		5.43	0.03	1.0	0.5429999999999999		high--4||low--4||medium--2	f__Fervidicoccaceae	f__Fervidicoccaceae		1;2;79;80;81;2046	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Fervidicoccaceae	10						
f__AG1	1.0	1.0	6	3.37	0.43	0.78	0.5616666666666666		2.28	0.01	0.98	0.37999999999999995		3.73	0.18	0.93	0.6216666666666667		3.34	0.21	0.97	0.5566666666666666		3.3800000000000003	0.11	0.91	0.5633333333333334		high--2||medium--4	f__AG1	f__AG1		1;2;79;80;81;2180	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__AG1	6						
f__Desulfurococcaceae	1.0	1.0	27	14.15	0.03	0.96	0.5240740740740741		17.16	0.03	0.98	0.6355555555555555		12.920000000000002	0.01	1.0	0.47851851851851857		16.150000000000002	0.05	1.0	0.5981481481481482		13.850000000000001	0.11	1.0	0.5129629629629631		medium--11||high--11||low--5	f__Desulfurococcaceae	f__Desulfurococcaceae		1;2;79;80;81;2303	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae	27						
f__Ignisphaeraceae	1.0	1.0	19	9.610000000000003	0.01	0.95	0.5057894736842107		9.280000000000001	0.08	0.99	0.48842105263157903		10.260000000000002	0.11	1.0	0.54		10.53	0.2	0.99	0.5542105263157895		7.88	0.02	0.86	0.4147368421052631		medium--9||low--5||high--5	f__Ignisphaeraceae	f__Ignisphaeraceae		1;2;79;80;81;2719	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignisphaeraceae	19						
f__Pyrodictiaceae	1.0	1.0	9	3.43	0.05	0.94	0.3811111111111111		5.88	0.41	0.96	0.6533333333333333		3.6399999999999997	0.03	0.96	0.4044444444444444		4.3999999999999995	0.14	0.97	0.4888888888888888		5.48	0.27	0.9	0.6088888888888889		high--5||low--3||medium--1	f__Pyrodictiaceae	f__Pyrodictiaceae		1;2;79;80;81;3201	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Pyrodictiaceae	9						
f__Ignicoccaceae	1.0	1.0	4	3.15	0.62	0.92	0.7875		2.13	0.15	0.93	0.5325		2.63	0.2	0.97	0.6575		0.29000000000000004	0.02	0.14	0.07250000000000001		1.1800000000000002	0.08	0.9	0.29500000000000004		high--1||medium--3	f__Ignicoccaceae	f__Ignicoccaceae		1;2;79;80;81;3268	family	root;d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Ignicoccaceae	4						
