Assembly	NRP.met	NRPS	HYDROXAMATE	SALICYLATE	OHASP	OHHIS	PYOVERDINE	CATECHOL	GRAMININE	DMAQ	K	P	C	O	F	G
RS_GCF_000067165.1	2	6	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Sorangium
RS_GCF_001189295.1	0	12	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Chondromyces
RS_GCF_005144635.2	1	4	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Polyangium
RS_GCF_001263205.1	0	2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Labilithrix
RS_GCF_000737325.1	1	3	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	Sandaracinus
RS_GCF_000024805.1	1	6	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium
RS_GCF_002305855.1	1	10	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Melittangium
RS_GCF_001027285.1	1	11	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Archangium
RS_GCF_002305895.1	1	10	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus
RS_GCF_000280925.3	0	9	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus
RS_GCF_000331735.1	1	13	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcus
RS_GCF_000255295.1	1	13	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Corallococcus
RS_GCF_001263175.1	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Bacteria	Myxococcota	Myxococcia	Myxococcales	Vulgatibacteraceae	Vulgatibacter
RS_GCF_000022145.1	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter
RS_GCF_003258315.1	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Bacteria	Myxococcota	Bradymonadia	Bradymonadales	Bradymonadaceae	Bradymonas
RS_GCF_000210915.2	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Halobacteriovorax
RS_GCF_000348725.1	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Pseudobdellovibrio
RS_GCF_001632775.1	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dokdonella
RS_GCF_004168365.1	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Pseudolysobacter
