name	GC	GCA	aquatic_habitat	host_associated	size	soil_habitat	GCF
2486577.SAMN10347832.GCA_004210275.1	40.8	GCA_004210275.1	0	1	1375759	0	RS_GCF_004210275.1
2759495.SAMN15595193.GCA_014116815.1	34.3	GCA_014116815.1			1928597		GB_GCA_014116815.1
86106.SAMN03081459.GCA_000730245.1	34.8	GCA_000730245.1	0	1	1615277	0	RS_GCF_000730245.1
86105.SAMN03099662.GCA_000815465.1	33.7	GCA_000815465.1	0	1	2370652	0	RS_GCF_000815465.1
696127.SAMN02604106.GCA_000219355.1	36.6	GCA_000219355.1	0	1	1183732	0	RS_GCF_000219355.1
2021221.SAMN07339320.GCA_009690945.1	27.6	GCA_009690945.1	0	1	1473785	0	RS_GCF_009690945.1
91750.SAMEA6954540.GCA_903887235.1	30.9	GCA_903887235.1	1	0	1600825	0	GB_GCA_903887235.1
1806454.SAMEA8498624.GCA_905479795.1	30.4	GCA_905479795.1	1	0	1163876	0	GB_GCA_905479795.1
357244.SAMEA3138266.GCA_000063545.1	30.5	GCA_000063545.1	0	1	2127051	0	RS_GCF_000063545.1
1359168.SAMN02666745.GCA_000964595.1	29.2	GCA_000964595.1			1092196		RS_GCF_000964595.1
336407.SAMN02603144.GCA_000012385.1	31.6	GCA_000012385.1	0	1	1522076	0	RS_GCF_000012385.1
1105107.SAMN02603555.GCA_000283915.1	31.0	GCA_000283915.1	0	1	1150228	0	RS_GCF_000283915.1
272947.SAMEA3138318.GCA_000195735.1	29.0	GCA_000195735.1	0	1	1111523	0	RS_GCF_000195735.1
257363.SAMN02603327.GCA_000008045.1	28.9	GCA_000008045.1	0	1	1111496	0	RS_GCF_000008045.1
109232.SAMEA4532341.GCA_000499665.1	32.4	GCA_000499665.1	0	1	1353450	0	None
1105111.SAMN02603561.GCA_000284055.1	32.5	GCA_000284055.1	0	1	1480884	0	RS_GCF_000284055.1
1359196.SAMN02666435.GCA_000964665.1	32.5	GCA_000964665.1	0	1	1485193	0	RS_GCF_000964665.1
293614.SAMN02604084.GCA_000018205.1	32.3	GCA_000018205.1	0	1	1231060	0	RS_GCF_000018205.1
1105110.SAMN02603558.GCA_000284155.1	32.3	GCA_000284155.1			1323280		RS_GCF_000284155.1
1144888.SAMN02471333.GCA_000255355.1	32.2	GCA_000255355.1	0	1	1417115	0	RS_GCF_000255355.1
2861191.SAMN20326103.GCA_019468145.1	37.8	GCA_019468145.1	0	1	2273978	0	None
1961830.SAMN06349452.GCA_002259525.1	33.0	GCA_002259525.1	0	1	1456176	0	RS_GCF_002259525.1
789.SAMN16338393.GCA_015657545.1	25.8	GCA_015657545.1	0	1	995540	0	GB_GCA_015657545.1
2777155.SAMN16288708.GCA_015476335.1	29.1	GCA_015476335.1	0	1	1047039	0	RS_GCF_015476335.1
2023360.SAMN14675793.GCA_013214485.1	30.1	GCA_013214485.1	1	0	1771143	0	GB_GCA_013214485.1
1913988.SAMN10966384.GCA_016869095.1	33.5	GCA_016869095.1	1	0	1657923	0	GB_GCA_016869095.1
2866313.SAMEA9534245.GCA_913698045.1	33.8	GCA_913698045.1			1298707		None
1913988.SAMN12754330.GCA_013298405.1	35.0	GCA_013298405.1	1	0	1399972	0	GB_GCA_013298405.1
2026788.SAMN18059883.GCA_017302595.1	34.7	GCA_017302595.1	0	0	1325166	1	GB_GCA_017302595.1
194194.SAMEA8498631.GCA_905479885.1	34.9	GCA_905479885.1	1	0	1183959	0	GB_GCA_905479885.1
194194.SAMEA8498633.GCA_905479865.1	37.3	GCA_905479865.1	1	0	1198116	0	GB_GCA_905479865.1
2115978.SAMN08668684.GCA_003015145.1	34.1	GCA_003015145.1	0	1	1472411	0	RS_GCF_003015145.1
2601646.SAMN12491245.GCA_008189685.1	34.9	GCA_008189685.1	0	1	633143	0	RS_GCF_008189685.1
2163644.SAMN08915486.GCA_007993655.1	32.9	GCA_007993655.1	1	1	1205153	0	RS_GCF_007993655.1
573234.SAMN02604136.GCA_000021505.1	58.4	GCA_000021505.1	0	1	143795	0	GB_GCA_000021505.1
573658.SAMN06933005.GCA_002804305.1	38.7	GCA_002804305.1	0	1	148642	0	GB_GCA_002804305.1
573658.SAMN06932999.GCA_002776675.1	45.4	GCA_002776675.1	0	1	145143	0	GB_GCA_002776675.1
573658.SAMN06933000.GCA_002776655.1	45.1	GCA_002776655.1	0	1	130881	0	GB_GCA_002776655.1
573658.SAMN06932991.GCA_002844105.1	44.9	GCA_002844105.1	0	1	129540	0	GB_GCA_002844105.1
573658.SAMN06932992.GCA_002844085.1	44.8	GCA_002844085.1	0	1	129059	0	GB_GCA_002844085.1
573658.SAMN06883757.GCA_002844065.1	46.3	GCA_002844065.1	0	1	125912	0	GB_GCA_002844065.1
573658.SAMN06932993.GCA_002844045.1	45.8	GCA_002844045.1	0	1	116502	0	GB_GCA_002844045.1
573658.SAMN02801775.GCA_000831425.1	46.2	GCA_000831425.1	0	1	140570	0	GB_GCA_000831425.1
573658.SAMN06932988.GCA_002846175.1	46.5	GCA_002846175.1	0	1	140417	0	GB_GCA_002846175.1
573658.SAMN06932989.GCA_002846095.1	46.7	GCA_002846095.1	0	1	137055	0	GB_GCA_002846095.1
