#name	sample1	sample2	sample3	sample4	sample5	random_type	bool_type	bool_type2
Phy003I7ZJ_CHICK	0.05	0.12	0.86	0.01	0.69	medium	1	TRUE
Phy0054BO3_MELGA	0.64	0.67	0.51	0.29	0.14	medium	1	TRUE
Phy00508FR_NIPNI	0.89	0.38	0.97	0.49	0.26	low	1	FALSE
Phy004O1E0_APTFO	0.1	0.09	0.38	0.31	0.41	medium	0	TRUE
Phy004PA1B_ANAPL	0.77	0.03	0.52	0.07	0.23	medium	1	TRUE
Phy004TLNA_APAVI	0.05	0.3	0.61	0.45	0.47	medium	1	FALSE
Phy004OLZM_COLLI	0.82	0.34	0.2	0.06	0.12	low	0	TRUE
Phy004OQ34_STRCA	0.46	0.76	0.08	0.79	0.17	high	1	FALSE
Phy00527O5_PICPB	0.68	0.27	0.89	0.36	0.49	high	1	FALSE
Phy004STVX_187382	0.33	0.95	0.22	0.34	0.38	low	1	TRUE
Phy004UIZ8_CALAN	0.87	0.26	0.33	0.67	0.74	medium	1	TRUE
Phy004SNJQ_CHAVO	0.56	0.76	0.27	0.84	0.52	medium	0	FALSE
Phy0050IUO_OPIHO	0.4	0.78	0.53	0.42	0.46	medium	1	FALSE
Phy004OLZN_COLLI	0.9	0.89	0.48	0.48	0.13	low	1	FALSE
Phy004W8WI_FALPE	0.8	0.64	0.93	0.38	0.55	medium	0	TRUE
Phy004W8WJ_FALPE	0.31	0.48	0.22	0.83	0.36	medium	1	FALSE
Phy004U0LB_BUCRH	-0.26	0.67	0.87	0.83	0.01	high	1	FALSE
Phy004VACL_55661	-0.38	0.6	0.84	0.54	0.02	low	0	FALSE
Phy004V34S_CORBR	0.96	0.73	0.23	0.57	0.35	low	0	FALSE
Phy004Z0OU_MELUD	-0.8	0.03	0.56	0.32	0.63	medium	1	FALSE
Phy004Y35P_HALLE	-0.68	0.07	0.91	0.8	0.06	high	0	TRUE
Phy00535AU_PYGAD	-0.34	0.73	0.3	0.39	0.2	high	1	FALSE
Phy004Y9VQ_LEPDC	-0.49	0.27	0.02	0.61	0.58	low	0	FALSE
Phy004XRVA_HALAL	-0.21	0.16	0.53	0.11	0.62	high	1	FALSE
Phy004Z7RR_MERNU	-0.85	0.12	0.33	0.19	0.81	low	0	FALSE
