FeatureID	abundance
RS_GCF_001560035.1	53
RS_GCF_001560635.1	45
RS_GCF_001560215.1	9
RS_GCF_001559985.1	42
RS_GCF_001560605.1	14
RS_GCF_001560125.1	7
RS_GCF_001560205.1	16
RS_GCF_001560195.1	90
RS_GCF_001560525.1	23
RS_GCF_007996945.1	63
RS_GCF_001559975.1	80
RS_GCF_001560165.1	51
RS_GCF_001560485.1	92
RS_GCF_001560065.1	4
RS_GCF_001560555.1	70
RS_GCF_000338775.1	51
RS_GCF_001560815.1	42
RS_GCF_001560465.1	71
RS_GCF_001560515.1	36
RS_GCF_001560435.1	80
RS_GCF_001560755.1	7
RS_GCF_001560835.1	8
RS_GCF_001560765.1	92
RS_GCF_002215405.1	49
RS_GCF_000012285.1	14
RS_GCF_002215525.1	100
RS_GCF_001560645.1	61
RS_GCF_001560315.1	13
RS_GCF_001560135.1	43
RS_GCF_001481635.1	13
RS_GCF_001559965.1	37
RS_GCF_001560795.1	60
RS_GCF_002215485.1	47
RS_GCF_001560045.1	42
RS_GCF_001560385.1	7
RS_GCF_001560725.1	67
RS_GCF_001560285.1	15
RS_GCF_001560355.1	87
RS_GCF_001560245.1	43
RS_GCF_001560455.1	63
RS_GCF_001560275.1	55
RS_GCF_001560715.1	30
RS_GCF_001560595.1	99
RS_GCF_000340315.1	54
RS_GCF_002215445.1	54
RS_GCF_001560115.1	95
RS_GCF_001559955.1	73
RS_GCF_001560565.1	90
RS_GCF_002215565.1	29
RS_GCF_001560305.1	22
RS_GCF_001560375.1	53
RS_GCF_001560685.1	76
RS_GCF_001560675.1	21
RS_GCF_001560405.1	82
RS_GCF_001560085.1	7
GB_GCA_001481595.1	28
GB_GCA_000508305.1	17
GB_GCA_003086455.1	13
RS_GCF_000245135.1	25
RS_GCF_000022445.1	52
RS_GCF_000245215.1	28
RS_GCF_000022405.1	37
RS_GCF_000245095.1	93
RS_GCF_000245195.1	56
RS_GCF_000189575.1	41
RS_GCF_000245155.1	40
RS_GCF_000024305.1	83
RS_GCF_000022425.1	87
RS_GCF_000189555.1	63
RS_GCF_000245235.1	73
RS_GCF_000245275.1	81
RS_GCF_000245175.1	93
RS_GCF_000022385.1	31
RS_GCF_000022485.1	71
RS_GCF_000245115.1	94
RS_GCF_000364745.1	45
RS_GCF_000245255.1	26
RS_GCF_000022465.1	9
RS_GCF_003852135.1	12
RS_GCF_003852215.1	99
RS_GCF_000968355.2	3
RS_GCF_003852195.1	28
RS_GCF_000024745.1	69
